File Number,Loan Account Number,Sub LAN,Case Filing Date,Forum (court),Case type,Case Number,Case Year,Petitioner,Respondent,CNR (district courts),Lawyer,Next Hearing Date,TransactionId,Status,Remarks
"=""FN26362432""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1002""","=""2024""","=""Wm Nikolaus IV""","=""Fannie White""","=""CNR754553696493""","=""Ollie Buckridge""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN05470584""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1003""","=""2024""","=""Gilbert Johnston""","=""Lewis Balistreri""","=""CNR186016170516""","=""Mrs. Erma Senger MD""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN45415630""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1004""","=""2024""","=""James Hammes""","=""Cesar Lemke PhD""","=""CNR953748902883""","=""Miss Jean Schinner III""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN73195855""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1005""","=""2024""","=""Bethany Nikolaus""","=""Jo Kerluke I""","=""CNR728470662953""","=""Alicia Monahan""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN20914679""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1006""","=""2024""","=""Elaine Kuhic""","=""Ignacio Walker""","=""CNR801134655359""","=""Marc Rutherford I""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN68452113""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1007""","=""2024""","=""Raul Bahringer""","=""Gwendolyn Blanda""","=""CNR502749030535""","=""Rudolph Hirthe DDS""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN55233747""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1008""","=""2024""","=""Dr. Sherman Hahn""","=""Tyler Cummings""","=""CNR605567919547""","=""Dominic Kuhn II""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN11713155""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1009""","=""2024""","=""Lorena Flatley""","=""Felicia Douglas""","=""CNR638510285470""","=""Ms. Bertha Trantow II""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN57793705""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1010""","=""2024""","=""Lloyd Rogahn""","=""Gayle Kulas""","=""CNR970690084665""","=""Connie Schiller""","=""2028-12-31""","=""20260730121343739""",Success,
"=""FN26251653""","=""68210000005802""",,"=""2024-05-10""","=""Civil Court""","=""Recovery""","=""CASE1011""","=""2024""","=""Cecelia Johnson MD""","=""Jordan Morissette""","=""CNR575755501650""","=""Leslie Stiedemann""","=""2028-12-31""","=""20260730121343739""",Success,
