Customer Id,Loan Account Number,Upload Type,Party Name,Relationship,Notice Type,Notice Reference Number,Notice Date,WhatsApp Delivery Status,WhatsApp Delivery Date,SMS Delivery Status,SMS Delivery Date,Physical Delivery Status,Physical Delivery Date,Physical Tracking ID,TransactionId,Status,Remarks
"=""41174""","=""1667""","=""Create""","=""Party 2""","=""Self""","=""Demand Notice""","=""NREF17882671070892""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882671070892""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 3""","=""Self""","=""Demand Notice""","=""NREF17882671070893""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882671070893""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 4""","=""Self""","=""Demand Notice""","=""NREF17882671070894""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882671070894""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 5""","=""Self""","=""Demand Notice""","=""NREF17882671070895""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882671070895""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 6""","=""Self""","=""Demand Notice""","=""NREF17882671070896""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882671070896""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 7""","=""Self""","=""Demand Notice""","=""NREF17882671070897""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882671070897""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 8""","=""Self""","=""Demand Notice""","=""NREF17882671070898""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882671070898""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 9""","=""Self""","=""Demand Notice""","=""NREF17882671070899""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK17882671070899""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 10""","=""Self""","=""Demand Notice""","=""NREF178826710708910""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826710708910""","=""20260901182251958""",Success,
"=""41174""","=""1667""","=""Create""","=""Party 11""","=""Self""","=""Demand Notice""","=""NREF178826710708911""","=""2026-07-20""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-21""","=""Delivered""","=""2026-07-22""","=""TRK178826710708911""","=""20260901182251958""",Success,
