Agreement id,Agent ENCollect Code,RightPartyContact,DispositionCodeGroup,DispositionCode,Next Action Date,PTPAmount,NextActionCode,Remarks,Newcontactnumber,NewArea,NewAddress,NewEmailID,AddressType,PickupAddress,WorkRequestId,UploadStatus,ErrorMessage
DMI0009590352,10031,ss,PTP,PTP,2025-12-26,33,,Bulk upload automation,8500486828,btm,bangalore,Werner_Ortiz15@hotmail.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590353,1936,ss,PTP,PTP,2025-12-26,62,,Bulk upload automation,7262397307,btm,bangalore,Savannah75@hotmail.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590350,10047,ss,PTP,PTP,2025-12-26,96,,Bulk upload automation,7700663113,btm,bangalore,Guadalupe63@hotmail.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590351,10036,ss,PTP,PTP,2025-12-26,64,,Bulk upload automation,7379764922,btm,bangalore,Brandyn_Boyer88@yahoo.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590354,1654,ss,PTP,PTP,2025-12-26,11,,Bulk upload automation,6370759958,btm,bangalore,Malvina.Haag@hotmail.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590355,1591,ss,PTP,PTP,2025-12-26,32,,Bulk upload automation,9919064148,btm,bangalore,Noemie_Nolan@gmail.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590359,1526,ss,PTP,PTP,2025-12-26,59,,Bulk upload automation,8884615386,btm,bangalore,Emile9@gmail.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590357,1585,ss,PTP,PTP,2025-12-26,21,,Bulk upload automation,6090550741,btm,bangalore,Waylon.Gusikowski@gmail.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590356,1586,ss,PTP,PTP,2025-12-26,55,,Bulk upload automation,8474295868,btm,bangalore,Dovie4@gmail.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
DMI0009590358,1584,ss,PTP,PTP,2025-12-26,49,,Bulk upload automation,9417925961,btm,bangalore,Lorine.Walker@yahoo.com,permanent,new,02132026013434043,Error,Next action date cannot be less than current date
